TEAM,URL,,,,
Utah Jazz,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/jazz.png,,,,
Phoenix Suns,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/suns.png,,,,
Philadelphia 76ers,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/76ers.png,,,,
Brooklyn Nets,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/nets.png,,,,
Denver Nuggets,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/nuggets.png,,,,
LA Clippers,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/clippers.png,,,,
Milwaukee Bucks,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/bucks.png,,,,
Dallas Mavericks,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/mavericks.png,,,,
Los Angeles Lakers,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/lakers.png,,,,
Portland Trail Blazers,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/blazers.png,,,,
Atlanta Hawks,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/hawks.png,,,,
New York Knicks,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/knicks.png,,,,
Miami Heat,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/heat.png,,,,
Golden State Warriors,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/warriors.png,,,,
Memphis Grizzlies,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/grizzlies.png,,,,
Boston Celtics,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/celtics.png,,,,
Indiana Pacers,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/pacers.png,,,,
Washington Wizards,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/wizards.png,,,,
Charlotte Hornets,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/hornets.png,,,,
San Antonio Spurs,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/spurs.png,,,,
Chicago Bulls,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/bulls.png,,,,
New Orleans Pelicans,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/pelicans.png,,,,
Sacramento Kings,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/kings.png,,,,
Toronto Raptors,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/raptors.png,,,,
Minnesota Timberwolves,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/timberwolves.png,,,,
Cleveland Cavaliers,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/cavs.png,,,,
Oklahoma City Thunder,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/thunder.png,,,,
Orlando Magic,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/magic.png,,,,
Detroit Pistons,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/pistons.png,,,,
Houston Rockets,https://raw.githubusercontent.com/jeremydumalig/DataBank/master/rockets.png,,,,